wavelength,power
3496.0120,0.0071031605
3495.8650,0.0013151305
3495.7175,0.00091140799
3495.5708,0.0057491567
3495.4233,0.0043576160
3495.2761,0.0011091481
3495.1287,0.0031126919
3494.9814,0.0069771591
3494.8342,0.0029831219
3494.6870,0.0050644474
3494.5400,0.0077121882
3494.3926,0.0015838953
3494.2456,0.0028011354
3494.0981,0.0048153889
3493.9509,0.0052409470
3493.8042,0.00078353804
3493.6570,0.0068410649
3493.5100,0.0045146882
3493.3625,0.0012227048
3493.2156,0.0040337318
3493.0684,0.0083208950
3492.9214,0.0020878091
3492.7744,0.0048420145
3492.6274,0.0056393701
3492.4802,0.0045025083
3492.3330,0.0024413439
3492.1863,0.0076212077
3492.0393,0.0049952101
3491.8921,0.0023614629
3491.7456,0.0050593112
3491.5984,0.0076991352
3491.4517,0.0011421875
3491.3047,0.0070132334
3491.1580,0.0063081379
3491.0110,0.0023114427
3490.8640,0.0031653093
3490.7173,0.0057953685
3490.5701,0.0057802708
3490.4233,0.0032190965
3490.2764,0.0062666927
3490.1299,0.0055970224
3489.9829,0.0022499578
3489.8362,0.0082620243
3489.6892,0.0070313811
3489.5422,0.0016028179
3489.3958,0.0074444492
3489.2490,0.0054655587
3489.1023,0.0024387438
3488.9556,0.0043976721
3488.8088,0.0058805807
3488.6619,0.0028104212
3488.5151,0.00050590251
3488.3687,0.0055429237
3488.2219,0.0066346838
3488.0754,0.00043077802
3487.9292,0.0041480814
3487.7820,0.0081422888
3487.6357,0.0029033183
3487.4890,0.0046614041
3487.3425,0.0086082891
3487.1958,0.0031859172
3487.0496,0.0036212928
3486.9026,0.0074928682
3486.7561,0.0055566593
3486.6096,0.0031683750
3486.4631,0.0057040504
3486.3167,0.0058984826
3486.1702,0.0030679891
3486.0239,0.0067810412
3485.8770,0.0078935931
3485.7305,0.00093285501
3485.5842,0.0037796218
3485.4377,0.0080360156
3485.2915,0.0044955276
3485.1450,0.0035642362
3484.9985,0.0088567091
3484.8521,0.0035854389
3484.7056,0.0011302514
3484.5596,0.0065912823
3484.4131,0.0061451006
3484.2671,0.0015514706
3484.1208,0.0062498660
3483.9744,0.0061413134
3483.8281,0.0032333382
3483.6816,0.0044110287
3483.5356,0.0066185836
3483.3892,0.0059871362
3483.2432,0.0025415067
3483.0967,0.0095158471
3482.9504,0.0037556838
3482.8042,0.0018885207
3482.6580,0.0048860363
3482.5120,0.0087757697
3482.3657,0.0017227428
3482.2195,0.0061011449
3482.0732,0.0093583241
3481.9272,0.00020189167
3481.7810,0.0028248942
3481.6348,0.0069981609
3481.4890,0.0053333086
3481.3428,0.0028513141
3481.1965,0.0081385421
3481.0505,0.0064008473
3480.9045,0.0013664562
3480.7585,0.0057728407
3480.6123,0.0069191400
3480.4668,0.0049168132
3480.3206,0.0082347700
3480.1748,0.0077105230
3480.0286,0.0028655748
3479.8828,0.0034793578
3479.7368,0.0084953187
3479.5911,0.0048811245
3479.4451,0.0037836079
3479.2988,0.0063360445
3479.1531,0.0039399946
3479.0071,0.0049436688
3478.8616,0.0065939785
3478.7156,0.010626559
3478.5698,0.0012808040
3478.4236,0.0033512234
3478.2776,0.0090251956
3478.1321,0.0055108257
3477.9861,0.0057259551
3477.8406,0.0088993153
3477.6948,0.0020475315
3477.5486,0.0030644010
3477.4031,0.0087344553
3477.2571,0.0065823873
3477.1116,0.00098066393
3476.9658,0.0044843834
3476.8203,0.0083809420
3476.6748,0.0042483462
3476.5291,0.0064477967
3476.3833,0.0079498719
3476.2375,0.0046878401
3476.0920,0.0033288344
3475.9465,0.0093454011
3475.8010,0.0038072984
3475.6550,0.0012532360
3475.5095,0.0051025362
3475.3640,0.0082209734
3475.2183,0.0018628674
3475.0730,0.0052057900
3474.9272,0.0087686870
3474.7820,0.0052312803
3474.6360,0.0063233832
3474.4907,0.0093332538
3474.3452,0.0026993612
3474.1995,0.0027273439
